Id,SalePrice
2658,149074.3642424979
2718,202303.87094985944
2414,192003.1910731078
1989,116467.93290741398
625,190380.37461803132
333,86520.03574415023
1327,110917.66426481627
858,144447.6685242918
95,199071.1593096102
1568,166551.55439041991
2482,169848.27497658104
1364,121452.19269072206
2584,158601.46631382708
818,292127.4522819441
2673,162026.81420691797
2089,132737.316343866
1297,182104.98203514048
790,106994.78792762563
2616,209981.02705725146
720,192418.46159213549
222,183867.11377353218
557,132871.90530332236
1148,212050.20343312863
2766,173282.26737867144
534,198991.80299022916
1452,114771.40976902095
630,126462.1078728312
2648,98074.08223768901
125,160086.42257127177
1904,51027.708898934245
1670,116907.90650209785
756,97656.69402949733
717,238557.79129397075
1032,146720.03165545495
852,230129.38309190728
1731,161398.99852123548
2639,149481.78030603714
2071,84208.50933290736
1267,118360.13733691297
1851,206107.80649056248
567,171602.06408255443
2439,224460.7908681541
1898,153259.17891713764
647,194526.82626251059
2256,244119.242050543
979,101464.444081847
1444,221958.19089624716
2485,119970.64225348199
157,125642.15251366195
88,96983.68969191742
2003,97849.67581888004
186,216173.16551479217
1425,261268.0594075237
2695,125015.09204326048
738,105392.62443190509
395,160829.60202675356
1353,169427.19481229936
1878,157699.43029706448
390,146800.52800314332
1456,232395.42470490938
1103,292302.60831129097
1387,90220.05972156077
2070,165498.01980505718
1199,145968.42973458418
2479,189661.44041669098
501,323253.22099562467
2362,72258.0523838406
1718,229858.25335319067
2188,49886.834078155836
1483,178570.61713115202
2557,103264.38139359254
437,298027.45421963825
2224,185752.7260226257
1628,182834.35981564625
397,134377.49365462884
587,191231.12382887542
2182,486546.3720490446
971,117285.02662319745
2611,139435.87591824864
1887,84882.24126913083
2399,320032.3728733281
2148,222859.45499454404
304,141790.6980301521
1997,135891.23275668145
2817,97806.69025672681
1431,213664.01008693688
427,355775.6673489872
263,116431.08964458515
598,162406.41590594815
2895,279265.5370646635
687,165458.43925940618
1822,144430.95979410788
2191,98447.99354956466
179,126297.9263725231
1009,236871.4329678917
2010,127291.44999803316
1991,132785.9489589982
1411,177420.10713572035
1721,251416.61789964992
1144,186472.27445150193
593,206766.06998927702
575,364683.61763532134
1249,186439.92563525605
1604,122799.42561049516
1064,435031.70623190707
1923,156747.47462105032
1988,125389.72347887764
2325,174213.77964789554
114,197209.3556427629
2700,199948.4542563532
217,133176.7815476788
343,186454.50206899227
386,232985.18522760097
2005,123388.53374709348
2908,133098.87196406166
1814,229073.48995746157
2446,432626.86382579664
208,171690.618542582
1679,124504.37098590605
822,313876.43666425784
6,195430.26325062776
1781,365379.3345302735
2397,293449.3779692518
2340,303345.94278617576
1618,148337.27255330927
2843,153976.90979612654
1061,317805.99340061785
2786,130812.56032242796
1935,124785.31655959456
1341,131932.59842578514
521,271672.7093001928
2136,133276.3605178279
996,186845.18962684114
227,152629.90258607478
135,177242.27973639994
1167,163931.50146812084
294,258595.33542235754
1776,209157.28116389105
540,190542.41024170388
1717,231775.94710277842
2303,122398.77084500385
116,177588.06344690084
127,126642.80216807174
1371,118569.13539071563
1014,147916.43664807186
1507,109252.82281158405
702,159428.458548665
750,137482.3712790838
261,138734.48343530146
1559,38126.49446641415
577,203782.1555823055
2812,199166.34911725565
2080,151470.75767712903
1368,98051.1339724041
2376,108935.76875612402
659,122464.63430627351
1235,125591.96806006458
332,61630.88822074764
1917,122653.54388544221
2094,247005.552305419
1460,285140.2126941717
1471,200119.4671862553
1509,112443.66995555909
1922,134209.45653216259
433,412559.4018662779
460,282174.1414097379
1116,250609.52364560685
1137,170275.81523424882
53,187480.29677802976
2354,267582.3248946299
1475,199804.76985565366
1761,423691.34330391034
